id,title,client,category,description,thumbnail,year,results,embedType,embedUrl,externalLink
digital-1,Brand Launch Campaign,Lumina Beauty,Digital,"Led comprehensive digital PR strategy for Lumina Beauty's product launch, securing coverage across 50+ digital publications and driving 2M+ impressions in the first week.",https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9?w=600&h=800&fit=crop,2024,50+ media placements; 2M+ impressions; 180% increase in web traffic,,,
digital-2,Crisis Communications,TechStart Inc.,Digital,"Managed rapid response communications during product recall, minimizing brand damage through strategic messaging and proactive media outreach.",https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=600&h=400&fit=crop,2024,85% positive sentiment recovery; 24-hour response time; Featured in PR Week,,,
digital-3,SEO-Driven Press Strategy,GreenLeaf Wellness,Digital,Developed integrated PR and SEO campaign resulting in top-tier backlinks and significant organic search improvements.,https://images.unsplash.com/photo-1432888498266-38ffec3eaf0a?w=600&h=600&fit=crop,2023,25 DA70+ backlinks; 45% organic traffic increase; Page 1 rankings for key terms,,,
print-1,Magazine Feature Story,Heritage Homes,Print,"Secured 8-page spread in Architectural Digest featuring client's sustainable luxury home designs.",https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=600&h=800&fit=crop,2024,8-page feature spread; 500K+ print readership; 3 month lead time secured,,,
print-2,Trade Publication Campaign,InnovateTech,Print,Orchestrated thought leadership campaign resulting in bylined articles across major trade publications.,https://images.unsplash.com/photo-1504711434969-e33886168f5c?w=600&h=500&fit=crop,2023,12 bylined articles; 4 cover stories; Industry award nomination,,,
print-3,Regional Press Tour,Artisan Spirits Co.,Print,Coordinated multi-city press tour generating coverage in regional lifestyle and food publications.,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=600&h=700&fit=crop,2023,18 regional features; 6-city tour; 40+ journalist meetings,,,
social-1,Viral TikTok Campaign,FreshFit Nutrition,Social,Created and executed TikTok-first content strategy that resulted in multiple viral moments and significant brand awareness lift.,https://images.unsplash.com/photo-1611162616305-c69b3fa7fbe0?w=600&h=800&fit=crop,2024,15M+ views; 3 viral videos; 200K new followers,tiktok,,
social-2,Instagram Rebranding,Bloom Florals,Social,"Led complete Instagram visual identity overhaul, establishing cohesive aesthetic and increasing engagement rates.",https://images.unsplash.com/photo-1490750967868-88aa4486c946?w=600&h=600&fit=crop,2024,250% engagement increase; 50K new followers; Featured on Instagram's @shop,instagram,,
social-3,LinkedIn Thought Leadership,Executive Coaching Co.,Social,"Developed and managed LinkedIn content strategy for C-suite client, positioning them as industry thought leader.",https://images.unsplash.com/photo-1611944212129-29977ae1398c?w=600&h=500&fit=crop,2023,500K+ post impressions; 10K new connections; 5 speaking invitations,,,
influencer-1,Macro Influencer Campaign,LuxeStyle Fashion,Influencer Partnerships,Negotiated and managed partnerships with 5 macro influencers (1M+ followers each) for seasonal collection launch.,https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=600&h=800&fit=crop,2024,8M combined reach; $450K earned media value; 15% sales increase,,,
influencer-2,Micro-Influencer Program,Honest Kitchen,Influencer Partnerships,Built and managed ongoing micro-influencer ambassador program with 50 food and lifestyle creators.,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=600&h=600&fit=crop,2024,200+ pieces of UGC; 2M+ impressions monthly; 3x ROI,,,
influencer-3,Celebrity Partnership,Elite Fitness,Influencer Partnerships,"Secured and managed year-long partnership with celebrity athlete, including content creation and media appearances.",https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=600&h=700&fit=crop,2023,$2M+ media value; National TV appearances; Sold-out product line,,,
events-1,Product Launch Event,Nova Electronics,Events,"Produced high-profile product launch event with 300+ attendees including press, influencers, and VIP clients.",https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=600&h=500&fit=crop,2024,300+ attendees; 75 media attendees; Trending on Twitter,,,
events-2,Press Preview Experience,Wanderlust Hotels,Events,Organized exclusive 3-day press trip for travel journalists and influencers at new resort property.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=600&h=800&fit=crop,2024,25 journalists hosted; 40+ articles published; Conde Nast Traveler feature,,,
events-3,Pop-Up Activation,Urban Brew Coffee,Events,Designed and executed Instagram-worthy pop-up experience generating organic social buzz and media coverage.,https://images.unsplash.com/photo-1453614512568-c4024d13c247?w=600&h=600&fit=crop,2023,5000+ visitors; 10K+ social mentions; Food & Wine coverage,,,
